time_datetime,Pbss,Pbss_bus8_Bus8_bTX,Pbss_bus8_real,Pbss_bus8_ref_real,Pbss_ref,Phres,Phres_real,Phres_ref,Ptot_wind1_real,Pwind
15:51:19,4055.97680664062,6.64035984085347,4042.44442106922,4433.35791015625,4414.58242797852,8018.77563476562,8005.61335876485,8000,3963.16893769563,3962.798828125
15:51:25,4037.30200195312,6.61356973690928,4024.811404306,4414.58251953125,4414.58242797852,8006.1162109375,7993.14959122492,8000,3968.33818691892,3968.81420898438
15:51:30,4017.59545898438,6.62883847485535,4021.13895947544,4414.58251953125,4414.58242797852,7991.99291992188,7995.62424128413,8000,3974.48528180869,3974.3974609375
15:51:36,4029.29223632812,6.61010885974073,4021.72956908851,4414.58251953125,4414.58242797852,8009.07568359375,8000.83188999663,8000,3979.10232090812,3979.78344726562
15:51:41,4036.26879882812,6.61697361345652,4027.2806944855,4414.58251953125,4393.25967407227,8021.32275390625,8011.29460144373,8000,3984.01390695822,3985.05395507812
15:51:46,3998.26293945312,6.59981616324033,4001.35828173259,4393.259765625,4404.76040649414,7988.49926757812,7991.62566168049,8000,3990.26737994791,3990.236328125
15:51:52,4022.96923828125,6.61586578575198,4024.90515681522,4404.76025390625,4386.26065063477,8018.49975585938,8019.15891511553,8000,3994.25375830031,3995.53051757812
15:51:57,3989.05859375,6.60118968223434,4010.05051939635,4386.2607421875,4397.05972290039,7989.20092773438,8009.64049081438,8000,3999.58997141804,4000.14233398438
15:52:03,4016.09423828125,6.61468456273541,4020.50588273515,4397.0595703125,4375.46670532227,8021.59301757812,8025.29492758666,8000,4004.7890448515,4005.49877929688
15:52:08,13989.4560546875,21.5445933503817,13971.6128545519,14375.466796875,-5625.05062866211,18000.5173339844,17982.5698576138,8000,4010.95700306194,4011.06127929688
15:52:13,3997.48999023438,6.54983796446397,3978.79411960733,4374.94921875,-5637.89657592773,8012.84594726562,7994.8929304407,8000,4016.09881083337,4015.35595703125
15:52:19,3968.48706054688,6.56524912585437,3985.71597734412,4362.103515625,-5627.03939819336,7989.14282226562,8006.39011987666,8000,4020.67414253254,4020.65576171875
