time_datetime,Error,Pbss,Pbss_bus8_Bus8_bTX,Pbss_bus8_real,Pbss_bus8_ref_real,Pbss_ref,Phres,Phres_real,Phres_ref,Ptot_wind1_real,Pwind
24-May-2024 05:42:33,0,-2599.67260742188,-3.31037805624177,-2598.64926740732,-2214.2265625,-2214.22662353516,4005.17944335938,4006.3327678015,4000,6604.98203520882,6604.85205078125
24-May-2024 05:42:38,0,-2597.57397460938,-3.31151928441568,-2597.58600760344,-2214.2265625,-2226.65753173828,4012.43090820312,4012.20370622962,4000,6609.78971383306,6610.0048828125
24-May-2024 05:42:44,0,-2611.9130859375,-3.32975658715573,-2610.11826311431,-2226.65747070312,-2226.65753173828,4003.0009765625,4004.74420151574,4000,6614.86246463005,6614.9140625
24-May-2024 05:42:49,0,-2611.35009765625,-3.33058823510661,-2610.652234827,-2226.65747070312,-2226.65753173828,4008.57763671875,4009.23613484029,4000,6619.88836966729,6619.927734375
24-May-2024 05:42:54,0,-2610.8779296875,-3.3297917584018,-2611.76880358708,-2226.65747070312,-2240.72100830078,4014.0634765625,4013.31708671148,4000,6625.08589029856,6624.94140625
24-May-2024 05:43:00,0,-2625.27026367188,-3.34999386998025,-2625.4257021753,-2240.72094726562,-2240.72100830078,4004.72973632812,4004.63482488451,4000,6630.06052705981,6630
24-May-2024 05:43:05,0,-2624.13647460938,-3.35273869877916,-2626.3441566902,-2240.72094726562,-2251.58843994141,4010.86743164062,4008.73956008366,4000,6635.08371677386,6635.00390625
24-May-2024 05:43:10,0,-2636.91723632812,-3.36626217914468,-2635.60908606371,-2251.58837890625,-2251.58843994141,4003.05639648438,4004.45772137304,4000,6640.06680743675,6639.9736328125
24-May-2024 05:43:16,0,-2634.85595703125,-3.36905034296304,-2637.1692193586,-2251.58837890625,-2251.58843994141,4007.68994140625,4005.45522034012,4000,6642.62443969873,6642.5458984375
24-May-2024 05:43:21,0,-2634.72436523438,-3.36867085775692,-2636.83620309248,-2251.58837890625,-2251.58843994141,4007.42456054688,4005.23238427639,4000,6642.06858736886,6642.14892578125
24-May-2024 05:43:27,0,-2637.365234375,-3.36575803516414,-2634.96022253098,-2251.58837890625,-2251.58843994141,4004.08837890625,4006.51902790764,4000,6641.47925043861,6641.45361328125
24-May-2024 05:43:32,0,-2636.89965820312,-3.36635035273872,-2634.79588714756,-2251.58837890625,-2251.58843994141,4004.15795898438,4006.14650004709,4000,6640.94238719465,6641.0576171875
24-May-2024 05:43:37,0,-2634.92724609375,-3.36905691360716,-2637.12156202566,-2251.58837890625,-2251.58843994141,4005.50439453125,4003.42831558827,4000,6640.54987761393,6640.431640625
24-May-2024 05:43:43,0,-2636.90966796875,-3.36714312327897,-2634.81112102093,-2251.58837890625,-2251.58843994141,4003.16943359375,4005.06062270125,4000,6639.87174372218,6640.0791015625
24-May-2024 05:43:48,0,-2636.35693359375,-3.36829175387844,-2635.97759236556,-2251.58837890625,-2251.58843994141,4003.1552734375,4003.43023976731,4000,6639.40783213287,6639.51220703125
24-May-2024 05:43:54,0,-2637.32299804688,-3.36617525907032,-2635.04034208885,-2251.58837890625,-2251.58843994141,4001.53784179688,4003.86300517041,4000,6638.90334725926,6638.86083984375
24-May-2024 05:43:59,0,-2634.74340820312,-3.36857261183464,-2636.48681276956,-2251.58837890625,-2251.58843994141,4003.78295898438,4001.93607141626,4000,6638.42288418581,6638.5263671875
24-May-2024 05:44:04,0,7362.73046875,-3.36604583089232,-2634.78426098885,-2251.58837890625,-12252.1787719727,14000.5903320312,4003.05249069028,4000,6637.83675167913,6637.85986328125
24-May-2024 05:44:10,0,-2637.92846679688,-18.3634569010959,-12638.3633386012,-12252.1787109375,-12252.1787719727,3999.46313476562,-6001.00636287064,4000,6637.35697573054,6637.3916015625
24-May-2024 05:44:15,0,-2639.53955078125,-18.3619330296663,-12636.8304376948,-12252.1787109375,-12252.1787719727,3997.37939453125,-6000.02340691165,4000,6636.80703078312,6636.9189453125
24-May-2024 05:44:21,0,-2639.30786132812,-18.3614733218876,-12636.6133080996,-12252.1787109375,-12252.1787719727,3997.04272460938,-6000.31194340258,4000,6636.301364697,6636.3505859375
24-May-2024 05:44:26,0,-2637.40356445312,-18.364215381968,-12639.2506026815,-12252.1787109375,-12252.1787719727,3998.55590820312,-6003.28832764883,4000,6635.96227503268,6635.95947265625
24-May-2024 05:44:31,0,-2637.67456054688,-18.3640967096824,-12639.4535907757,-12252.1787109375,-12252.1787719727,3997.68676757812,-6004.0189724514,4000,6635.43461832431,6635.361328125
